feature,split_importance,gain_importance,rank_gain
d1_calcium_min_missing,4,95.51324033737183,283
map_apache_missing,4,89.577889919281,284
creatinine_apache_missing,6,87.67668056488037,285
h1_diasbp_invasive_max_missing,6,85.91413819789886,286
h1_pao2fio2ratio_max_missing,6,85.52394998073578,287
d1_glucose_max_missing,6,85.48460793495178,288
h1_resprate_max_missing,8,80.86811065673828,289
h1_albumin_min,5,79.41528129577637,290
sodium_apache_missing,6,75.93138027191162,291
apache_3j_bodysystem_Musculoskeletal/Skin,4,74.8125,292
h1_diasbp_noninvasive_min_missing,4,73.29209899902344,293
d1_sodium_min_missing,3,72.31940078735352,294
weight_missing,3,69.41340065002441,295
h1_wbc_max_missing,5,68.36239957809448,296
ethnicity_Other/Unknown,3,67.86330032348633,297
h1_sysbp_max_missing,3,66.37920093536377,298
h1_mbp_noninvasive_min_missing,3,59.23800086975098,299
h1_albumin_max_missing,3,58.321298599243164,300
h1_platelets_max_missing,4,55.22591279819608,301
apache_3j_diagnosis_missing,2,55.11549949645996,302
h1_sysbp_noninvasive_min_missing,1,54.05939865112305,303
d1_sysbp_noninvasive_min_missing,2,51.6600980758667,304
h1_calcium_max_missing,3,51.57349967956543,305
h1_hematocrit_max_missing,3,49.72347974777222,306
h1_mbp_min_missing,3,49.561699867248535,307
apache_3j_bodysystem_infrequent_sklearn,3,49.26049995422363,308
d1_platelets_min_missing,2,49.02470016479492,309
apache_2_bodysystem_Renal/Genitourinary,2,48.096999168395996,310
h1_arterial_po2_max_missing,3,46.199100494384766,311
h1_potassium_min_missing,3,44.749149799346924,312
icu_type_Cardiac ICU,3,43.16170024871826,313
h1_bilirubin_max_missing,2,41.14560127258301,314
h1_bilirubin_min,3,34.79978036880493,315
h1_hemaglobin_min_missing,2,33.865800857543945,316
h1_pao2fio2ratio_min_missing,2,29.891940593719482,317
h1_diasbp_invasive_min_missing,2,28.25629997253418,318
h1_heartrate_max_missing,1,28.214000701904297,319
hospital_admit_source_Step-Down Unit (SDU),2,27.637700080871582,320
h1_creatinine_max_missing,2,27.1919002532959,321
h1_lactate_min_missing,3,26.65275001525879,322
h1_glucose_min_missing,2,25.213500022888184,323
h1_inr_min_missing,1,24.809200286865234,324
hospital_admit_source_Recovery Room,1,24.24970054626465,325
h1_wbc_min_missing,1,22.3794002532959,326
h1_creatinine_min_missing,2,22.319199562072754,327
h1_spo2_max_missing,2,21.684979915618896,328
h1_resprate_min_missing,2,21.60243034362793,329
h1_sysbp_invasive_min_missing,1,19.179399490356445,330
h1_bun_max_missing,2,19.029639720916748,331
h1_arterial_po2_min_missing,1,17.4867000579834,332
cirrhosis,1,17.446399688720703,333
h1_heartrate_min_missing,1,15.90530014038086,334
h1_bilirubin_min_missing,1,15.060199737548828,335
d1_mbp_max_missing,1,13.983599662780762,336
h1_mbp_invasive_min_missing,1,13.933899879455566,337
apache_3j_bodysystem_Genitourinary,1,13.571999549865723,338
h1_diasbp_min_missing,1,11.730199813842773,339
