feature,mean_abs_shap
d1_diasbp_invasive_min_missing,0.002552589973055009
h1_creatinine_max,0.002547157441016693
d1_hematocrit_max_missing,0.0025071104636576573
d1_temp_max_missing,0.002431122645634063
d1_creatinine_min_missing,0.002409492095868804
ethnicity_Caucasian,0.0023949814526992336
h1_diasbp_invasive_min,0.0023200233220159057
urineoutput_apache_missing,0.002211273202188256
ph_apache,0.0021736703466889843
h1_platelets_min,0.0021447648794944794
apache_2_bodysystem_Trauma,0.0020363697746515167
hospital_admit_source_Other Hospital,0.00197952973348797
h1_albumin_max,0.0019201339272421681
h1_arterial_pco2_max,0.001906474388601126
h1_diasbp_invasive_max,0.0019032102573490286
glucose_apache_missing,0.0018926406700272703
d1_sysbp_max_missing,0.0018714462686350113
d1_mbp_invasive_max,0.0018665437508200973
paco2_for_ph_apache,0.0018289891949751127
bilirubin_apache_missing,0.001794889924634036
h1_hemaglobin_max,0.0017831505266922229
h1_sysbp_noninvasive_max_missing,0.0017799195276970718
apache_2_bodysystem_Respiratory,0.0017197653638178205
d1_hematocrit_min_missing,0.0016903952859561556
d1_pao2fio2ratio_min_missing,0.0016875566507142455
d1_pao2fio2ratio_max_missing,0.0016677192574513647
d1_calcium_max_missing,0.0016624035754754045
h1_platelets_max,0.001642217126351034
h1_calcium_max,0.0015545746607077962
bun_apache_missing,0.0015338831891243763
h1_bun_max,0.0015142369763452663
d1_bun_max_missing,0.0015090460649550017
h1_arterial_ph_min,0.0014861738044775253
d1_albumin_max_missing,0.0014632264983995898
h1_sodium_min,0.0014629155415051387
d1_wbc_max_missing,0.0014437489099606233
icu_type_CCU-CTICU,0.0014347716192333352
d1_potassium_min_missing,0.0014097954758073583
h1_bun_min,0.001375415200837057
h1_inr_max_missing,0.0013611924926752801
h1_hco3_max,0.0013592475162685553
icu_admit_source_Accident & Emergency,0.0012968109554512928
d1_lactate_max_missing,0.0012954871531121433
d1_wbc_min_missing,0.0012861132540421438
bmi_missing,0.0012623860485070607
h1_hco3_min,0.0012563540958732678
h1_hematocrit_max,0.0011982126886461864
height_missing,0.0011648046573056593
albumin_apache_missing,0.001162948465837899
d1_albumin_min_missing,0.0011284924992149626
d1_sysbp_noninvasive_max_missing,0.0011093713319837541
h1_mbp_noninvasive_max_missing,0.0010766109613947502
h1_sodium_max,0.00106203126902895
h1_temp_max_missing,0.0010473477570815055
d1_platelets_max_missing,0.0010295760630117969
h1_pao2fio2ratio_min,0.0010023659783545318
hepatic_failure,0.0009897416204512244
icu_stay_type_admit,0.0009679115566989102
apache_2_bodysystem_Haematologic,0.0009456406461536747
hematocrit_apache_missing,0.0009391200399219242
d1_bilirubin_min_missing,0.0009147059093741042
d1_temp_min_missing,0.0008873503674719279
d1_arterial_pco2_min_missing,0.0008556598065806306
d1_bilirubin_max_missing,0.0008544812345953593
h1_resprate_max_missing,0.000831893597944859
d1_mbp_noninvasive_max_missing,0.0008255890990323224
creatinine_apache_missing,0.0008061538572125466
d1_sysbp_min_missing,0.0007615278766084422
ethnicity_Hispanic,0.000735855199318278
h1_lactate_max_missing,0.0007240635157218129
gcs_verbal_apache_missing,0.0007173848938392543
icu_type_SICU,0.0007089000491180128
d1_arterial_po2_min_missing,0.000708521414990941
h1_lactate_max,0.0007064569873399543
h1_temp_min_missing,0.0006936970077578492
h1_potassium_max_missing,0.0006928239874785146
h1_glucose_max_missing,0.0006654924185650319
d1_hco3_max_missing,0.0006244323555838819
h1_albumin_min,0.0006020710639491894
d1_sodium_max_missing,0.0005864622995609378
h1_calcium_min,0.0005658239954296158
d1_calcium_min_missing,0.0005430289085438279
fio2_apache_missing,0.0005345877238371152
icu_type_CTICU,0.0005304030847950967
h1_hco3_max_missing,0.0004973937384318555
icu_type_MICU,0.0004887406646186315
h1_arterial_pco2_max_missing,0.0004841444117608371
d1_lactate_min_missing,0.0004820386345287786
h1_hemaglobin_max_missing,0.0004542932175498221
d1_diasbp_noninvasive_max_missing,0.0004486372372541486
d1_hco3_min_missing,0.0004404414877880567
h1_mbp_noninvasive_min_missing,0.0004291888317567496
h1_mbp_max_missing,0.0004077233324710575
h1_pao2fio2ratio_max_missing,0.0004048877850518507
d1_hemaglobin_max_missing,0.0003757549714856134
