rank,feature_1,feature_2,mean_abs_interaction,mean_signed_interaction,median_signed_interaction
144,d1_resprate_min,d1_lactate_min,0.0009691828425094344,-0.00016998760537780165,-0.00018733666614147024
145,gcs_verbal_apache,urineoutput_apache,0.0009543675360204993,0.00015354040135301842,-3.286642227318443e-05
146,d1_heartrate_min,d1_heartrate_max,0.0009237569353146121,-0.00010745105266499216,-0.0001884461211118658
147,d1_spo2_min,elective_surgery,0.0009117349466720377,7.860448263344965e-05,-0.00021213225607896188
148,d1_bun_min,elective_surgery,0.0008865308145585982,-0.0003809357063400662,-1.8879233539702554e-05
149,d1_spo2_min,urineoutput_apache,0.0008425899468091169,-0.00018768341748543808,6.158680829156511e-05
150,gcs_motor_apache,d1_heartrate_min,0.0008331997456586031,-7.449672394832177e-05,-0.00021030780616777145
151,d1_bun_max,d1_wbc_min,0.000827995569075496,-2.516640187968673e-05,-3.379899631913096e-05
152,urineoutput_apache,d1_hemaglobin_max,0.0008271358130208711,1.6274326725713475e-07,-0.0002465428249649979
153,pre_icu_los_days,d1_resprate_min,0.0008126846245492059,6.757546305083198e-06,1.7714280047322077e-05
154,pre_icu_los_days,gcs_eyes_apache,0.0008028582479652622,-0.00012644594755266468,-0.00024288524416143015
155,d1_heartrate_min,d1_bun_min,0.0007987113769830342,-4.6809088381769905e-05,-2.725150016652329e-05
156,d1_bun_min,gcs_eyes_apache,0.0007878293935919528,-0.0001458693635297566,-0.00017916915814624455
157,gcs_motor_apache,d1_wbc_min,0.0007828584637564135,0.00010034993684806604,0.00012328023744298983
158,urineoutput_apache,pre_icu_los_days,0.0007598696507658938,1.9652749549661323e-05,1.558876008994703e-05
159,d1_wbc_min,d1_resprate_min,0.0007388196709739858,-0.00012053535601687995,-0.00010609395560961404
160,elective_surgery,gcs_eyes_apache,0.0007381346084093571,-9.071111593301581e-05,-0.00020678320803649644
161,d1_bun_max,d1_resprate_min,0.0007326261550389436,-0.00010389232850387414,-4.998313881731474e-05
162,d1_heartrate_max,d1_hemaglobin_max,0.0007139380285423722,6.765494656929392e-05,5.3851484124208966e-05
163,d1_bun_max,elective_surgery,0.0007098112193556963,-0.00012779841692717257,-0.00015067953254161695
164,gcs_verbal_apache,d1_hemaglobin_max,0.0006707313275359332,-6.722776376180764e-05,-0.00013733168877189437
165,gcs_verbal_apache,elective_surgery,0.0006178824992345835,-4.523028595116345e-05,-0.00021157196816162894
166,ventilated_apache,d1_wbc_min,0.0005785514723421154,4.3467938171613905e-05,0.00020164653629935493
167,urineoutput_apache,gcs_eyes_apache,0.0005753954142633831,-0.00020001189276053034,0.00012982668907575909
168,d1_lactate_min,d1_hemaglobin_max,0.000563264129635195,-8.432958512829704e-05,0.00017746081529783258
169,d1_resprate_min,d1_hemaglobin_max,0.0005558680123225651,1.3852925451519048e-05,-1.368180764992443e-05
170,pre_icu_los_days,elective_surgery,0.0005319147193933763,-0.0001192006919981196,-0.00020892145006896928
171,d1_wbc_min,d1_lactate_min,0.0005309240985685158,-0.00013227545518587305,4.8984731959954e-05
172,d1_wbc_min,d1_hemaglobin_max,0.0005194365733464203,0.00013631074234375036,8.991565379777823e-05
173,elective_surgery,d1_hemaglobin_max,0.0005151052525917047,-2.059376892042456e-05,-8.033373141794984e-05
174,d1_sysbp_min,d1_wbc_min,0.0005125202675367666,-0.00010467285026821485,6.994981989590852e-06
175,gcs_motor_apache,urineoutput_apache,0.0004958735619094059,-0.0001459436361653688,0.00014972825928278715
